No.,Time,Comment,Scramble
1,8.77,2017-02-12,U' B L' U' R L' B' U
2,6.58,,R B' U' R B' R U R'
3,7.46,,L R U R L' R' B U R
4,9.03,,L U L' U R' B' R U
5,10.35,,L U' L R' U B U' L R
6,10.72,,R U L' B' R L U' L U
7,7.36,,B L R B' L' U' L' R' B'
8,5.83,,B R' L R' B U' B U L'
9,7.25,,U' B' L' R U' B U B' L'
10,9.39,,U' B R' L U L' U' R'
11,9.69,,R' L' R U' L' B U L'
12,7.55,,L U' L R' L R U L R'
13,7.63,,L R' B U' L' R L' U L'
14,10.07,,L' B' R' B' U' L U B U
15,6.82,,B' R' U' R B' U' L U' L'
16,8.76,,B' U' L B' R L U' R B U
17,7.74,,B' L' R U' L U R' U'
18,9.39,,R' L' U R B R' B' U' R
19,8.51,,B U B' R' U L' B L' R
20,8.75,,B R' L' B' R U L' U' L'
21,7.05,,B R U' R B U' L R
22,8.68,,R U' B' L' R U' B R' L'
23,8.18,,L U' L U' L U B' R' L'
24,7.84,,L' B' R' U B' L' B' R L
25,9.41,,B R' U' R U' R U L R'
26,9.23,,B' R B' U B U' L' B'
27,8.28,,U B L U L' B R' U' L
28,7.87,,U' L B U' B U' B' U R'
29,11.84,,U' R B' U B' L R U L'
30,9.86,,L U' R L' B' U L U L
