No.,Time,Comment,Scramble
1,13.17,,D L2 U' B2 F2 D U2 F2 U R2 U' R' B' U' F L' B' D' B U2
2,14.09,,F2 L2 B' R2 F' U2 L2 F2 D2 R2 F D R F D2 L2 R D2 B2 R
3,12.96,,R' B L2 D2 R2 U L U B' U' B2 U2 F' D2 R2 F' D2 B2
4,13.42,,F D2 L' F2 R B2 R' D2 R D2 B2 D R B U B2 L' F U' R2 U2
5,12.69,,F' L' D' F' L2 U2 B2 U' L2 U2 R D2 R' B2 U2 L' F2 U2 R2 B
6,13.44,,R2 B2 D F' U2 D2 R2 L' F' U2 D2 F2 L2 B' L2 U2 L2 F2 L2
7,11.61,,D' B' F2 U2 L2 R2 F' R2 B2 F' D L2 U' L U' L D' F U2
8,11.92,,D2 F2 D2 L2 B2 U B2 U' L2 F' L' U B2 R2 U2 F R' U L'
9,12.40,,D2 R' B2 D B L2 F2 D L' U2 F2 D' R2 U' R2 B2 U B2 R2 U
10,12.78,,B L2 F' R2 B2 D2 F' R2 F' R2 F' R D L2 D F2 L R' U F
11,10.67,,R' B' D R' U L' F R' F' R2 F2 U2 D2 R2 U2 D2 F2 R F2 U'
12,13.46,,L U2 F L2 B' L2 F' R2 B F L' D2 F' D2 B' F2 U' R2 D2
13,13.83,,D2 F2 R2 B' D2 B' U2 B F' U F' D L' D' F R' B L2 F'
14,14.84,,U2 B2 L2 U' L2 R2 U' R2 D' R2 F' R U B D L2 U L2 F U'
15,14.03,,D2 B L2 U2 F' L2 F R2 D2 R2 F' D' R2 B L D L F2 L' U' R
16,10.81,,L' F2 U L2 R2 B2 D' U B2 D' F2 U2 B D2 L' B' U' R2
17,11.70,,L B' U2 B L2 R2 B F' L2 B' R2 L' D' U R D' F' D2 B2 L2
18,13.51,,D F2 R' F' D' B' U2 R2 L' D B L2 D2 F2 R2 D2 F2 L2 D2
19,14.11,,D2 F' R2 F U2 B2 L2 D2 F2 R2 D' B' D' L B R' B R2 F2
20,11.31,,U2 F2 L2 B L2 F' R2 B L2 B' U' L R' B U' B' D' U2 L D'
21,13.12,,U2 R2 F2 B R2 L2 U2 D R U B' R2 L2 U2 F' U2 D2 R2 D2 R2
22,14.88,,F D2 B L2 F' R2 B' L2 D2 R2 D' L F' R D U L' F2 L2 B'
23,13.13,,R F' D' R2 F2 R' B' U B2 R B2 R2 L B2 U2 L' F2 D2 L2 U'
24,14.71,,L2 B R' B2 L' U L2 F' R D2 R D2 F2 L' F2 B2 L B2
25,11.65,,B L F D' F2 R U2 B L' U' F2 R D2 R' D2 L' B2 R2 F2 B2 U2
26,11.53,,L' U2 R2 B2 F2 D' F2 L2 R2 U' F' D B D F2 L U L B
27,13.45,,B2 U R2 U L2 D' L2 D' F2 D2 B2 F D' B2 U B' D U2 R' B2 U2
28,12.40,,D2 U2 F D2 B F2 D2 F L2 U' L R F' U R2 B R F U
29,14.27,,U L D2 F2 U2 R' D2 U2 L' F2 L' B2 F R2 F' D' B2 U F' D2 F2
30,12.36,,D2 R2 D2 F' U2 B' L2 B R2 F2 R' D2 B' L R D' B2 D B' D'
31,10.11,,L' D2 U2 L' D2 F2 R U2 F2 L' R B U L U' B2 D F' R' F L'
32,12.15,,R B R U2 R2 U R2 F D2 R U2 B2 D' F2 D F2 R2 L2
33,14.55,,F2 D2 U2 R2 B2 L' U2 L R2 D' F L B' U F' R2 B' U F2
